"job_title_short","mean_salary","job_location"
"Business Analyst",97477,"Boston, MA"
"Business Analyst",102368,"New York, NY"
"Data Analyst",101529,"Boston, MA"
"Data Analyst",93382,"Cambridge, MA"
"Data Analyst",101079,"New York, NY"
"Data Engineer",141942,"Boston, MA"
"Data Engineer",129683,"Cambridge, MA"
"Data Engineer",154453,"New York, NY"
"Data Scientist",146103,"Boston, MA"
"Data Scientist",132236,"Cambridge, MA"
"Data Scientist",158663,"New York, NY"
"Machine Learning Engineer",152000,"New York, NY"
"Senior Data Analyst",103390,"Boston, MA"
"Senior Data Analyst",118620,"New York, NY"
"Senior Data Engineer",150681,"Boston, MA"
"Senior Data Engineer",155253,"Cambridge, MA"
"Senior Data Engineer",159871,"New York, NY"
"Senior Data Scientist",145008,"Boston, MA"
"Senior Data Scientist",138000,"Cambridge, MA"
"Senior Data Scientist",164411,"New York, NY"
"Software Engineer",85833,"Boston, MA"
"Software Engineer",136125,"New York, NY"
